"jp_text","kr_text"
高原の朝の空気はすがすがしい。,고원지대 아침 공기는 상쾌하다.
この問題は、じっくり時間をかけて考える必要がある。,이 문제는 차분히 시간을 들여 생각할 필요가 있다.
彼は素材にこだわって料理を作る。,그는 소재 하나하나에 신경 써서 요리를 만든다.
彼はいつもいやらしい目で女性を見る。,그는 항상 불쾌한 눈으로 여성을 본다.
この痛みにもう少しだけ堪えられますか。,이 통증을 조금만 더 참을 수 있겠습니까?
どうぞ、気兼ねなくお召し上がりください。,"부디, 사양 말고 드세요."
約束の時間の7時きっかりに、彼は現れた。,약속 시간인 7시 정각에 그는 나타났다.
悪い夢を見て、寝汗びっしょりで目が覚めた。,나쁜 꿈을 꾸고 식은땀에 흠뻑 젖어 잠에서 깼다.
休日は一日中家でごろごろしていたい。,휴일에는 하루 종일 집에서 빈둥빈둥하고 싶다.
彼女も来るものだと、てっきり思っていた。,그녀도 오는 것이라고 틀림없이 생각하고 있었다.
宿題をさっさと終わらせて、遊びに行こう。,숙제를 빨리빨리 끝내고 놀러 가자.
赤ちゃんはみるみるうちに大きくなる。,아기는 눈 깜짝할 사이에 커진다.
出かける前に、部屋をちゃんと片付けなさい。,외출하기 전에 방을 제대로 정돈해라.
公園で犬が楽しそうに飼い主と遊んでいる。,공원에서 개가 즐겁게 주인과 놀고 있다.
彼女にとって家族の存在は、つらい日々を支える大きな救いだった。,그녀에게 가족의 존재는 힘든 나날을 버티게 해 주는 큰 구원이 되었다.
夜になると、フクロウの鳴き声が森に響く。,밤이 되면 부엉이의 울음소리가 숲에 울려 퍼진다.
寒い朝、白い息を吐きながら学校へ向かった。,"추운 아침, 하얀 입김을 내쉬며 학교로 향했다."
風邪をひいて、声が出なくなった。,감기에 걸려서 목소리가 나오지 않게 되었다.
努力は裏切らないと信じて、毎朝走っている。,노력은 배신하지 않는다고 믿고 매일 아침 달리고 있다.
電車でつり革を持つと、わきが見えてしまう。,전철에서 손잡이를 잡으면 겨드랑이가 보이게 된다.
恐竜は遥か昔に絶滅したと考えられている。,공룡은 아주 먼 옛날에 멸종했다고 여겨진다.
絶滅の危機に瀕している動物を保護する活動がある。,멸종 위기에 처한 동물을 보호하는 활동이 있다.
動物虐待は決して許されない行為だ。,동물 학대는 결코 용서받을 수 없는 행위이다.
畑にまっすぐな畝を作るのは、思ったよりも難しい作業だ。,밭에 곧은 이랑을 만드는 것은 생각보다 어려운 작업이다.
彼女は年齢の割に色艶がよい。,그녀는 나이에 비해 안색이 좋다.
祖父の写真を新しい額縁に入れ替えた。,할아버지 사진을 새 액자에 갈아 끼웠다.
小鳥のために、庭に鳥かごを設置した。,작은 새를 위해 정원에 새장을 설치했다.
新しい首輪をプレゼントしたら、犬が喜んだ。,새 목걸이를 선물했더니 개가 기뻐했다.
飼っているインコが人の言葉を真似し始めた。,키우는 잉꼬가 사람 말을 흉내 내기 시작했다.
それでは、安全運転でいってらっしゃいませ。,그럼 안전운전 하시고 다녀오세요.
納品された物品に破損や不足がある場合は、直ちにご連絡願います。,"납품된 물품에 파손이나 부족이 있는 경우, 즉시 연락 바랍니다."
明治期の私塾では、若者が議論を重ねて学問を深めた。,메이지 시기의 사숙에서는 젊은이들이 토론을 거듭하며 학문을 깊게 했다.
森で道に迷ったら、鹿の親子に出会った。,"숲에서 길을 잃었을 때, 사슴 모자를 만났다."
危険な毒を持つ蛇には近づかないでください。,위험한 독을 가진 뱀에게는 다가가지 마십시오.
熱を加えると金属は少し縮らすことができる。,열을 가하면 금속은 조금 수축시킬 수 있다.
アフリカのサバンナでライオンの群れが獲物を狙っている。,아프리카의 사바나에서 사자 무리가 사냥감을 노리고 있다.
ペンギンたちが氷の上をよちよち歩いている。,펭귄들이 얼음 위를 아장아장 걷고 있다.
家の壁にヤモリがくっついている。,집 벽에 도마뱀붙이가 붙어 있다.
今日は塾があるから、遊びはまた今度ね。,오늘은 학원이 있으니까 놀이는 다음에 하자.
巨大なクジラが潮を吹く光景は壮観だった。,거대한 고래가 물을 뿜는 광경은 장관이었다.
二人の距離が少しずつ縮まるのを感じた。,두 사람의 거리가 조금씩 가까워지는 것을 느꼈다.
レポートは要点を短縮して、1ページにまとめてください。,리포트는 요점을 줄여 1페이지로 정리해 주세요.
白鳥の優雅な姿は多くの芸術家にインスピレーションを与えた。,백조의 우아한 모습은 많은 예술가에게 영감을 주었다.
寝る前に少しだけ小説を読むのが日課です。,자기 전에 조금 소설을 읽는 것이 일과입니다.
お友達と仲良く遊ぼうね。,친구랑 사이좋게 놀자.
朝、鳥のさえずりで目が覚めた。,아침에 새의 지저귐에 잠이 깼다.
美容師に「縮れ毛は乾燥しやすいので保湿が大事」と言われた。,미용사에게 “곱슬머리는 건조해지기 쉬우니 보습이 중요하다”는 말을 들었다.
豚は泥の中で遊ぶのが好きだ。,돼지는 진흙 속에서 노는 것을 좋아한다.
寒さで指が縮む感じがして、手袋が手放せない。,추위로 손가락이 오그라드는 느낌이 들어 장갑을 놓을 수 없다.
羽ばたく鳥のように、自由に空を飛びたい。,날갯짓하는 새처럼 자유롭게 하늘을 날고 싶다.
茶道は日本の美しい伝統の一つです。,다도는 일본의 아름다운 전통 중 하나입니다.
写真の展覧会で、素晴らしい作品に出会いました。,사진전람회에서 멋진 작품을 만났습니다.
雨に濡れた紙が縮れるほど、強い風が吹いていた。,비에 젖은 종이가 쭈글쭈글해질 정도로 강한 바람이 불었다.
夏になると、近所の神社でお祭りが開かれます。,여름이 되면 근처 신사에서 축제가 열립니다.
日曜日は家でゆっくり休む。,일요일은 집에서 푹 쉰다.
母は私を怒る前に、まず事情を聞いた。,엄마는 나를 혼내기 전에 먼저 사정을 들었다.
友達が落ち込んでいるので、そっと肩を叩いて励ました。,친구가 우울해하고 있어서 살짝 어깨를 두드리며 격려했다.
この町の縮図みたいな商店街だね。,이 동네의 축도 같은 상점가네.
角を曲がると、新しいパン屋のお店がある。,모퉁이를 돌면 새로운 빵 가게가 있다.
図書館は静かに本を読むところです。,도서관은 조용히 책을 읽는 곳입니다.
この漫画はとても面白い。,이 만화는 매우 재미있다.
新幹線はとても速い。,신칸센은 매우 빠르다.
毎日の散歩は犬の健康にとって非常に重要だ。,매일 산책하는 것은 개의 건강에 매우 중요하다.
お年玉を銀行に貯金しに行った。,세뱃돈을 은행에 저금하러 갔다.
魚のきらきら光る鱗が美しい。,물고기의 반짝이는 비늘이 아름답다.
コウモリは超音波を使って暗闇で獲物を見つける。,박쥐는 초음파를 이용해 어둠 속에서 먹이를 찾는다.
遊園地はとても楽しい場所だ。,놀이공원은 매우 즐거운 곳이다.
野球は九人でします。,야구는 아홉 명이서 합니다.
公園に人がたくさんいる。,공원에 사람이 많이 있다.
彼のプロポーズの言葉に、胸がいっぱいになった。,그의 프러포즈 말에 가슴이 벅차올랐다.
彼は何か言いたそうに、唇を噛みしめた。,그는 무언가 말하고 싶은 듯 입술을 깨물었다.
彼は考え事をするとき、顎に手を当てる癖がある。,그는 생각을 할 때 턱에 손을 괴는 버릇이 있다.
朝、洗面台でブラシを使って髪を整えた。,아침에 세면대에서 브러시로 머리를 정리했다.
感染拡大を受けて、今週の飲み会は自粛することにした。,감염 확산을 받아 이번 주 술자리는 자제하기로 했다.
事故の原因究明のために、専門家チームが現場を調査している。,사고 원인 규명을 위해 전문가 팀이 현장을 조사하고 있다.
臼歯に虫歯が見つかり、しばらく歯医者に通うことになった。,어금니에 충치가 생겨 한동안 치과에 다니게 되었다.
緊張すると爪を噛む癖がある。,긴장하면 손톱을 물어뜯는 버릇이 있다.
彼女は美しいブレスレットを手首につけていた。,그녀는 아름다운 팔찌를 손목에 차고 있었다.
週末の予定はまだ決まっていない。,주말 예정은 아직 정해지지 않았다.
明日は休みだから、一日中ゲームをするつもりだ。,내일은 휴일이니까 하루 종일 게임을 할 생각이다.
孫が私の膝の上で気持ちよさそうに眠っている。,손주가 내 무릎 위에서 기분 좋은 듯이 잠들어 있다.
感動的な映画を見て、涙が止まらなかった。,감동적인 영화를 보고 눈물이 멈추지 않았다.
兄弟で些細なことで喧嘩になった。,형제가 사소한 일로 싸웠다.
党内で反対派の粛清が進み、会議室の空気が重くなった。,당내에서 반대파 숙청이 진행되어 회의실 공기가 무거워졌다.
夏休みの宿題がまだたくさん残っている。,여름방학 숙제가 아직 많이 남아있다.
風邪のひき始めか、少し寒気がする。,감기 기운인지 약간 한기가 든다.
お母さんの作る料理は世界一美味しい。,엄마가 만드는 요리는 세상에서 제일 맛있다.
おいしいものを食べて、思わず口元がゆるんだ。,맛있는 것을 먹고 나도 모르게 입가가 풀어졌다.
健康のために、毎日体を動かすことが大切だ。,건강을 위해 매일 몸을 움직이는 것이 중요하다.
今日の晩ご飯は何にしようかな。,오늘 저녁밥은 뭘로 할까?
週末は家でのんびり過ごすのが好きです。,주말은 집에서 한가롭게 보내는 것을 좋아해요.
家族が居間に集まってテレビを見ている。,가족이 거실에 모여 TV를 보고 있다.
祖父は縁側でよくお茶を飲んでいる。,할아버지는 툇마루에서 자주 차를 마신다.
祖母が昔の話をしてくれた。,할머니가 옛날이야기를 해 주셨다.
トイレの電球が切れたので、交換しなければならない。,화장실 전구가 나가서 교체해야 한다.
お父さんが休みの日に公園に連れて行ってくれた。,아빠가 쉬는 날에 공원에 데려가 주셨다.
一日中歩き回って、足が棒のようだ。,하루 종일 걸어 다녔더니 다리가 몽둥이 같다.
朝、家族に「おはよう」と挨拶する。,"아침에 가족에게 ""좋은 아침""이라고 인사한다."
子どもが誘拐される事件が相次ぎ、町に不安が広がっている。,아이들이 유괴되는 사건이 잇따르며 마을에 불안이 커지고 있다.
子供のために、毎日お弁当を作っている。,아이를 위해 매일 도시락을 만들고 있다.
今日の夕飯のおかずは、魚の塩焼きだ。,오늘 저녁 반찬은 생선 소금구이다.
美味しいご飯をありがとう、「ごちそうさまでした」。,"맛있는 밥 고마워요, ""잘 먹었습니다""."
台風で屋根瓦が数枚飛んでしまった。,태풍으로 기와가 몇 장 날아가 버렸다.
乗り物酔いで吐き気がする。,차멀미로 메스꺼움이 난다.
父のいびきがうるさくて、夜眠れないことがある。,아버지의 코골이가 시끄러워서 밤에 잠을 못 이룰 때가 있다.
猫が階段を駆け上がっていった。,고양이가 계단을 뛰어 올라갔다.
静かな所で話そう。,조용한 곳에서 이야기하자.
コーラを一気に飲んだら、大きなげっぷが出た。,콜라를 단숨에 마셨더니 큰 트림이 나왔다.
ジャズを生で聴いて、音楽の楽しさに一気に開眼した。,재즈를 라이브로 듣고 음악의 즐거움에 단번에 눈을 떴다.
滑り台を何度も滑って、楽しそうだ。,미끄럼틀을 몇 번이고 타며 즐거워 보인다.
昔、この町では疫痢が流行して多くの子どもが倒れた。,예전에 이 마을에서는 역리가 유행해 많은 아이들이 쓰러졌다.
彼の目にはどこか狂気が宿っていた。,그의 눈에는 어딘가 광기가 깃들어 있었다.
能と狂言を初めて観劇した。,노와 교겐을 처음으로 관극했다.
コードレス掃除機はとても便利だ。,무선 청소기는 매우 편리하다.
明日は恐らく雨になるだろうから、傘を持っていこう。,내일은 아마 비가 올 테니 우산을 가져가자.
食事が終わったら、食器を洗ってください。,식사가 끝나면 식기를 닦아 주세요.
冬はストーブの前が一番暖かい。,겨울에는 난로 앞이 가장 따뜻하다.
観客の熱狂がスタジアムを揺らした。,관객들의 열광이 스타디움을 뒤흔들었다.
家族と一緒にいる時が一番幸せだ。,가족과 함께 있을 때가 가장 행복하다.
休みの日は家で音楽を聴きながらのんびり過ごす。,쉬는 날은 집에서 음악을 들으며 한가롭게 보낸다.
公園にはたくさんの子供たちが遊んでいた。,공원에는 많은 아이들이 놀고 있었다.
あれ見て！飛行機雲だ。,저거 봐! 비행기구름이야.
彼は教育に生涯を捧げ、多くの子どもたちに影響を与えた。,그는 교육에 생애를 바쳐 많은 아이들에게 영향을 주었다.
容疑者は長時間の取り調べの末、自供した。,용의자는 장시간의 심문 끝에 자백했다.
初々しい二人を見て微笑んだ。,풋풋한 두 사람을 보고 미소 지었다.
机の引き出しには古い銀貨が几帳面に並べられている。,책상 서랍에는 오래된 은화가 가지런히 늘어서 있다.
近所の公園で毎朝走る。,동네 공원에서 매일 아침 뛴다.
もうすぐ一人で歩けるようになりそうだ。,이제 곧 혼자서 걸을 수 있게 될 것 같다.
一人で立てるようになったよ！,혼자서 설 수 있게 됐어!
申し込みの期間は来週の金曜日までです。,신청 기간은 다음 주 금요일까지입니다.
子どもが怪獣の映画に夢中になっている。,아이들이 괴수 영화에 푹 빠져 있다.
せんせいが ほんを よんでくれる。,선생님이 책을 읽어 주신다.
おちゃは ちょっと にがいかな？,차는 조금 쓸까?
こたつでみかんを食べるの、あったかいね。,"코타츠에서 귤 까먹는 거, 따뜻하다."
親の期待が重すぎて息苦しく感じることがある。,부모의 기대가 너무 무거워 숨막히게 느껴질 때가 있다.
おもちゃで いっしょに あそぼう！,장난감으로 같이 놀자!
お出かけするから、靴を履こうね。,외출해야 하니까 신발 신자.
チーム全員が実力を発揮すれば、必ず勝てる。,팀 전원이 실력을 발휘하면 반드시 이길 수 있다.
石鹸で手を洗うと、ぴかぴかになるよ。,비누로 손을 씻으면 반짝반짝해져.
よーいどん！足でいっぱい走ろう。,준비 땅! 발로 힘껏 달리자.
お花のいい匂い、お鼻でかいでみて。,"꽃의 좋은 향기, 코로 맡아봐."
パパの声が耳で聞こえるね。,아빠 목소리가 귀로 들리네.
かぜが つよくて、かみが ぐちゃぐちゃ。,바람이 강해서 머리가 엉망진창.
いすの したに なにが ある？,의자 아래에 뭐가 있어?
初心者でも簡単にできる。,초보자도 쉽게 할 수 있다.
転んで膝に怪我をしてしまった。,넘어져서 무릎을 다쳤다.
「これは何？」と、一日中質問してくる。,이건 뭐야?라고 하루 종일 질문한다.
公園で犬が元気に走っているよ。,공원에서 강아지가 힘차게 달리고 있어.
「ただいま！」と叫びながら、玄関に駆け込んできた。,다녀왔습니다!라고 외치며 현관으로 뛰어 들어왔다.
夜は星がとてもきれいだ。,밤에는 별이 아주 예쁘다.
この絵本が大好きで、毎日読んでいる。,이 그림책을 아주 좋아해서 매일 읽고 있다.
子ども向けの本には、漢字に振り仮名が付いている。,아이들을 위한 책에는 한자에 후리가나가 붙어 있다.
自分の席の椅子に座る。,자기 자리의 의자에 앉는다.
地球の引力があるから私たちは地面に立っていられる。,지구의 인력이 있기 때문에 우리는 땅 위에 서 있을 수 있다.
牛乳をごくごく飲んで、大きくなろうね。,우유를 꿀꺽꿀꺽 마시고 쑥쑥 크자.
ここはとても静かで、心が安らかだ。,이곳은 매우 조용해서 마음이 평온하다.
彼女の笑顔を写真に映しておきたい。,그녀의 웃는 얼굴을 사진에 담아 두고 싶다.
待て待てー！公園をいっぱい走ろう。,기다려! 공원을 힘껏 달리자.
遵法意識を高める教育が必要だ。,준법 의식을 높이는 교육이 필요하다.
雨が田畑を潤した。,비가 논밭을 적셔 주었다.
高熱が出たので病院で診てもらった。,고열이 나서 병원에서 진찰을 받았다.
ちゃんと椅子に座ってご飯を食べよう。,의자에 제대로 앉아서 밥을 먹자.
おやつにクッキーというお菓子を食べた。,간식으로 쿠키라는 과자를 먹었다.
「おはよう」って元気に言ってみよう。,안녕이라고 힘차게 말해보자.
音楽を聞きながら勉強する。,음악을 들으면서 공부한다.
水槽の中で魚がすいすい泳いでる。,수조 안에서 물고기가 뻐끔뻐끔 헤엄치고 있어.
冬は肌の潤いが不足しがちだ。,겨울에는 피부 보습(윤기)이 부족해지기 쉽다.
目を閉じて10数えてください。,눈을 감고 10을 세어 주세요.
図書館に本を返しに行く。,도서관에 책을 반납하러 간다.
ご飯を食べる前に手をきれいに洗う。,밥을 먹기 전에 손을 깨끗이 씻는다.
あの山はとても高い。,저 산은 매우 높다.
転んじゃったの？えーんえーんって泣かないで。,넘어진 거야? 엉엉 울지 마.
彼の処女作が話題になった。,그의 처녀작이 화제가 됐다.
その犬は驚くほど従順だ。,그 개는 놀랄 만큼 온순하고 순종적이다.
お母さんのカレーはとてもおいしい。,엄마의 카레는 정말 맛있다.
新規事業に潤沢な資金が投入された。,신규 사업에 넉넉한 자금이 투입됐다.
旅行の準備を前日に済ませた。,여행 준비를 전날 끝냈다.
公園で犬がボールを追いかけている。,공원에서 개가 공을 쫓고 있다.
鉛筆で字を書く練習をする。,연필로 글씨 쓰기 연습을 한다.
お母さんがお弁当を作ってくれた。,어머니가 도시락을 만들어 주셨다.
駅で電車を待っている。,역에서 전철을 기다리고 있다.
みんなで楽しい歌を歌おう。,다 함께 즐거운 노래를 부르자.
象の絵を上手に描いた。,코끼리 그림을 잘 그렸다.
お小遣いでお金をもらった。,용돈으로 돈을 받았다.
この容器には危険な液体が入っている。,이 용기에는 위험한 액체가 들어 있다.
この地域は一年中湿潤だ。,이 지역은 일 년 내내 습윤하다.
夏は暑いから、水をたくさん飲む。,여름은 더우니까 물을 많이 마신다.
代表者は壇上に上がり、震える声で謝罪の言葉を述べた。,"대표자는 단상에 올라, 떨리는 목소리로 사죄의 말을 진술했다."
冷たい水で喉が潤った。,차가운 물로 목이 촉촉해졌다.
牧場で牛がのんびり草を食べている。,목장에서 소가 한가롭게 풀을 뜯고 있다.
たんじょうびおめでとう！,생일 축하해!
みみで よく きいてね。,귀로 잘 들어봐.
プロジェクトは順調に進んでいる。,프로젝트는 순조롭게 진행되고 있다.
手順の順序を間違えた。,절차의 순서를 잘못했다.
学校まで毎日歩いて行く。,학교까지 매일 걸어간다.
よるに なると ほしが キラキラする。,밤이 되면 별이 반짝반짝한다.
聴衆の心を掴むためには、抑揚をつけて話すことが効果的だ。,"청중의 마음을 사로잡기 위해서는, 억양을 넣어 말하는 것이 효과적이다."
匿名性を利用して他人を攻撃する行為は、決して許されない。,"익명성을 이용해서 타인을 공격하는 행위는, 결코 용서받을 수 없다."
じてんしゃで こうえんまで いこう。,자전거로 공원까지 가자.
公園で友達と遊ぶのが好きだ。,공원에서 친구와 노는 것을 좋아한다.
砂浜を足で歩くと気持ちいい。,모래사장을 발로 걸으면 기분이 좋다.
おばけが でてきそうで こわい。,귀신이 나올 것 같아서 무서워.
君の言っていることは矛盾だらけで、全く筋が通っていない。,"네가 하고 있는 말은 모순 투성이라, 전혀 이치에 맞지 않아."
じぶんの かげと おいかけっこした。,자신의 그림자와 술래잡기했다.
指で星を数える。,손가락으로 별을 센다.
夜空に星がたくさん輝いている。,밤하늘에 별이 많이 빛나고 있다.
彼女には強い後ろ盾がいる。,그녀에게는 든든한 뒷배가 있다.
条約は国会で批准された。,조약은 국회에서 비준되었다.
おまつりで りんごあめを かった。,축제에서 사과 사탕을 샀다.
議論の論点がずれているので、一度本題に戻しましょう。,"논의의 논점이 어긋나 있으니, 일단 본론으로 돌아갑시다."
兵士は盾を掲げて突進した。,병사는 방패를 치켜들고 돌진했다.
はなびが ドーンと あがってきれいだね。,불꽃놀이가 펑 하고 터져서 예쁘네.
家臣が主君に殉死した。,가신이 주군을 따라 순사했다.
不純な動機で近づかないで。,불순한 동기로 다가오지 마.
遭難した登山隊の一人が殉難した。,조난당한 등산대원 한 명이 순난했다.
お前が先に手を出したんだろう、被害者ぶるのはやめろ。,"네가 먼저 손을 댔잖아, 피해자인 척하는 건 그만둬."
純真な笑顔に心がほどけた。,순진한 미소에 마음이 풀렸다.
木に毛虫がたくさんいた。,나무에 송충이가 많이 있었다.
蟻が砂糖を運んでいる。,개미가 설탕을 나르고 있다.
礼儀作法を修めるには、日々の反復が大切だ。,예절을 익히려면 매일의 반복이 중요하다.
子どもはまず文字を読めるようになって、自信がついた。,아이들은 먼저 문자를 읽게 되면서 자신감이 붙었다.
言いたいことがあるなら、影で言わずに直接言ってこいよ。,"하고 싶은 말이 있으면, 뒤에서 말하지 말고 직접 말하러 와."
すぐに宿題を始めなさい。,바로 숙제를 시작하렴.
私の好きな果物はイチゴです。,제가 좋아하는 과일은 딸기입니다.
お皿の上のケーキを全部食べた。,접시 위의 케이크를 전부 먹었다.
火事になったら、すぐに逃げる。,화재가 나면 바로 도망친다.
戦争の悲哀を描いた映画を見て、胸が締め付けられた。,전쟁의 비애를 그린 영화를 보고 가슴이 먹먹해졌다.
家族はとても大切な存在だ。,가족은 매우 소중한 존재다.
山寺で修行して、心を鍛えたい。,산사에서 수행하며 마음을 단련하고 싶다.
池で魚が泳いでいる。,연못에서 물고기가 헤엄치고 있다.
お父さんの背中は大きくて暖かい。,아버지의 등은 크고 따뜻하다.
彼は重い荷物を軽々と持ち上げ、涼しい顔で運んでいった。,"그는 무거운 짐을 가볍게 들어 올려, 시원한 얼굴로 날랐다."
泥遊びをして服が汚くなった。,흙장난을 해서 옷이 더러워졌다.
冬になるとインフルエンザが子どもたちの間で伝染しやすい。,겨울이 되면 독감이 아이들 사이에서 쉽게 전염된다.
このチーズは少し臭いけど、味は濃い。,이 치즈는 조금 냄새 나지만 맛은 진하다.
学校で新しい友達ができた。,학교에서 새로운 친구가 생겼다.
レポートは五千字以内でまとめてください。,레포트는 5천 자 이내로 정리해 주세요.
黄色いひまわりが咲いている。,노란 해바라기가 피어 있다.
青い車が道を走っている。,파란 자동차가 길을 달리고 있다.
事実無根の記事を書かれ、名誉毀損で出版社を訴えた。,"사실무근인 기사가 쓰여, 명예훼손으로 출판사를 고소했다."
毎朝一つ、新しい単語を覚えることにしている。,매일 아침 하나씩 새로운 단어를 외우기로 하고 있다.
香水の俗臭がきつくて、頭が痛くなった。,싸구려 향수의 저속한 냄새가 심해 머리가 아팠다.
その上着、まだ臭い。,"그 겉옷, 아직 냄새 나."
下水の悪臭が強くて、窓を閉めた。,하수구 악취가 심해서 창문을 닫았다.
留学して初めて、一人で衣食住を全て管理する大変さを知った。,"유학을 가서 처음으로, 혼자 의식주를 모두 관리하는 어려움을 알게 되었다."
この花はとてもきれいですね。,이 꽃은 정말 예쁘네요.
大声で怒鳴り合う声が隣の部屋から聞こえてきて、怖かった。,큰 소리로 서로 고함치는 소리가 옆방에서 들려와서 무서웠다.
りんごを三つください。,사과를 세 개 주세요.
夜10時にはベッドで寝ます。,밤 10시에는 침대에서 잡니다.
売り言葉に買い言葉で喧嘩になり、今は口もきいていない。,"홧김에 주고받은 말로 싸움이 되어, 지금은 말도 안 하고 있다."
先生の説明がよく分かった。,선생님의 설명이 잘 이해되었다.
秋季限定のメニューが店に並んだ。,가을 한정 메뉴가 가게에 진열됐다.
粘土で動物を作った。,점토로 동물을 만들었다.
そんな汚い言葉を使うのは、君の品位を下げるだけだよ。,그런 더러운 말을 쓰는 것은 자네의 품위를 떨어뜨릴 뿐이야.
困難に直面した人々に救いの手を差し伸べるのが、私たちの使命です。,"어려움에 직면한 사람들에게 구원의 손길을 내미는 것이, 우리의 사명입니다."
テレビを見ながら食事をするのはよくない。,TV를 보면서 식사하는 것은 좋지 않다.
突然の夕立に遭い、古い民家の軒でしばらく雨宿りをさせてもらった。,"갑작스러운 소나기를 만나, 낡은 민가 처마 밑에서 잠시 비를 피했다."
秋分の日は、日没が早く感じる。,추분 무렵에는 해가 빨리 지는 듯 느껴진다.
寒いから、窓を閉めてください。,추우니 창문을 닫아 주세요.
彼は残念そうな顔をしながらも、結果を受け入れた。,그는 아쉬운 듯한 얼굴을 하면서도 결과를 받아들였다.
異なる意見を持つ人との対話こそが、新しい発想を生む源泉だ。,"다른 의견을 가진 사람과의 대화야말로, 새로운 발상을 낳는 원천이다."
積み木を高く積んで、わざと壊して遊ぶ。,나무 블록을 높이 쌓고 일부러 부수며 논다.
壊れたおもちゃを直してもらった。,부서진 장난감을 고쳐 받았다.
混乱は収拾がつかず、会議は中断した。,혼란이 수습되지 않아 회의가 중단됐다.
彼はゼロから会社を築き上げ、今では地域の顔になった。,그는 무에서 회사를 일으켜 세워 이제는 지역의 얼굴이 되었다.
テストで100点を取って、とても嬉しい。,시험에서 100점을 받아서 매우 기쁘다.
運動の後は、水をたくさん飲む。,운동 후에는 물을 많이 마신다.
財布の拾得届を交番に出した。,지갑 습득 신고서를 파출소에 제출했다.
蚊に刺されて、腕がかゆい。,모기에 물려서 팔이 가렵다.
禁煙ルームを希望していたのですが、喫煙ルームになっていませんか。,"금연 룸을 희망했습니다만, 흡연 룸으로 되어 있지 않나요."
友達と喧嘩して、悲しい気持ちになった。,친구와 싸워서 슬픈 기분이 되었다.
宗匠の一言で、場の空気が引き締まった。,종장의 한마디로 분위기가 단단해졌다.
彼は改宗して、新しい信仰を選んだ。,그는 개종해 새로운 신앙을 선택했다.
彼は義理と人情を何よりも重んじる、まさに漢の中の漢だ。,"그는 의리와 인정을 무엇보다 소중히 여기는, 그야말로 사나이 중의 사나이다."
この道は狭いので、車は通れません。,이 길은 좁아서 차는 다닐 수 없습니다.
ピッチャーの暴投でランナーが三塁へ進んだ。,투수의 폭투로 주자가 3루까지 진루했다.
周りを見渡してから、静かに席を立った。,주위를 둘러본 뒤 조용히 자리를 떴다.
車の中でラジオを聞く。,차 안에서 라디오를 듣는다.
本屋で新しい絵本を買った。,서점에서 새 그림책을 샀다.
その記者会見は台本通りで、まるで茶番劇だった。,그 기자회견은 각본대로라 마치 짜고 치는 연극 같았다.
円周を測るには、直径が分かればいい。,원의 둘레를 재려면 지름을 알면 된다.
彼は数学に秀でるが、言葉は少ない。,그는 수학에 뛰어나지만 말수는 적다.
大事な鍵をなくしてしまった。,소중한 열쇠를 잃어버렸다.
彼女は茶色のコートに、金色のボタンを合わせた。,그녀는 갈색 코트에 금색 단추를 매치했다.
予約の時間に間に合わないので、１０分ほど遅らせてください。,"예약 시간에 늦을 것 같아서, 10분 정도 늦춰 주세요."
おじいちゃんが畑で野菜を育てている。,할아버지가 밭에서 채소를 키우신다.
子どもたちは地図を片手に森の中を冒険した。,아이들은 지도를 손에 들고 숲 속을 모험했다.
夜7時からテレビでアニメを見る。,저녁 7시부터 TV로 애니메이션을 본다.
部屋に入るときはノックしてください。,방에 들어갈 때는 노크해 주세요.
時計の針が動いている。,시곗바늘이 움직이고 있다.
お墓参りは毎年欠かさず行っている。,성묘는 매년 빠뜨리지 않고 가고 있다.
今日はとても暑い日です。,오늘은 매우 더운 날입니다.
出張の帰りに、お土産を買ってきた。,출장 다녀오는 길에 선물을 사 왔다.
このチケットはいかなる場合も再発行できませんのでご注意ください。,이 티켓은 어떠한 경우에도 재발급되지 않으므로 주의해 주십시오.
展示されていた唐織は金糸がきらめいていた。,전시된 가라오리는 금실이 반짝였다.
青いズボンをはいて学校へ行く。,파란 바지를 입고 학교에 간다.
学校の帰りに本屋に寄った。,학교에서 돌아오는 길에 서점에 들렀다.
舟宿で休み、川魚の料理を頼んだ。,뱃사공 숙소에서 쉬며 강물고기 요리를 시켰다.
帰りが遅くなるなら、連絡してください。,귀가가 늦어지면 연락 주세요.
この畑では大豆を無農薬で育てている。,이 밭에서는 콩(대두)을 무농약으로 기르고 있다.
この電車の東京行きの最終は何時ですか？,이 전철의 도쿄행 막차는 몇 시입니까?
やるべきことと気持ちの間で葛藤してしまう。,해야 할 일과 마음 사이에서 갈등하게 된다.
彼女は身投げを考えるほど追い詰められたが、友人に救われた。,그녀는 투신을 생각할 만큼 몰렸지만 친구에게 도움을 받았다.
夏祭りの夜、舟遊びで灯籠を流した。,여름 축제 밤에 배놀이로 등롱을 띄웠다.
音楽を聴きながら勉強する。,음악을 들으면서 공부한다.
彼は今回の戦いで大きな勝利を収めた。,그는 이번 싸움에서 큰 승리를 거두었다.
桜並木の通りは春になるととても美しい。,벚꽃 가로수길은 봄이 되면 매우 아름답다.
自分の意見を最後まで通す。,자신의 의견을 끝까지 관철하다.
この書類に目を通しておいてください。,이 서류를 훑어봐 주세요.
会社は従業員の健康管理に責任を持ち、定期的な健康診断を実施している。,"회사는 종업원의 건강 관리에 책임을 지고, 정기적인 건강 검진을 실시하고 있다."
